id,area,beds,baths,detail_url,image_urls,key_house
79804297,3847.0,6,5,https://www.zillow.com/homedetails/43926-Normandy-Ln-Lancaster-CA-93536/79804297_zpid/,https://photos.zillowstatic.com/fp/275a7de79528a3fb6c9bc501f8f97715-p_e.jpg,1
19099909,694.0,1,1,https://www.zillow.com/homedetails/16025-Madrone-Blvd-Cobb-CA-95426/19099909_zpid/,https://photos.zillowstatic.com/fp/46ff688610810ad6b6f2853946e0ffca-p_e.jpg,2
25427187,1573.0,3,2,https://www.zillow.com/homedetails/2341-E-Adams-Ave-Orange-CA-92867/25427187_zpid/,https://photos.zillowstatic.com/fp/6e3b25e160fd23fa00e3e9228a376c45-p_e.jpg,3
16639626,1040.0,2,2,https://www.zillow.com/homedetails/2280-San-Remo-Cir-Vista-CA-92084/16639626_zpid/,https://photos.zillowstatic.com/fp/64c097a3ced74679c403d8c1898f1dc4-p_e.jpg,4
17027466,1443.0,4,2,https://www.zillow.com/homedetails/568-Ann-St-El-Cajon-CA-92021/17027466_zpid/,https://photos.zillowstatic.com/fp/8e4753b0b4e7aaacd14a1305b4569daf-p_e.jpg,5
25570620,1418.0,3,3,https://www.zillow.com/homedetails/24841-Vista-Magnifica-Laguna-Niguel-CA-92677/25570620_zpid/,https://photos.zillowstatic.com/fp/a657a932ca3b2eaafa94991728e7dd6e-p_e.jpg,6
2066420942,0.0,1,1,https://www.zillow.com/homedetails/5520-Deer-Creek-Ln-Rancho-Cucamonga-CA-91737/2066420942_zpid/,https://photos.zillowstatic.com/fp/62f51798886d4ddaacbc993f6f80bb9e-p_e.jpg,7
16709207,1724.0,3,2,https://www.zillow.com/homedetails/1050-Hygeia-Ave-APT-B-Encinitas-CA-92024/16709207_zpid/,https://photos.zillowstatic.com/fp/2d7abe83b92e2248edf53ac05f74d609-p_e.jpg,8
305152276,1779.0,3,3,https://www.zillow.com/homedetails/108-Jaripol-Cir-Rancho-Mission-Viejo-CA-92694/305152276_zpid/,https://photos.zillowstatic.com/fp/e629d9a278beb4d9be0e141d91b48e48-p_e.jpg,9
18957705,948.0,2,1,https://www.zillow.com/homedetails/6316-Sundale-Ave-Bakersfield-CA-93309/18957705_zpid/,https://photos.zillowstatic.com/fp/e43f5779e0eebd49564e5b6fa9cecb7c-p_e.jpg,10
17112486,1213.0,3,2,https://www.zillow.com/homedetails/1435-Madera-St-Lemon-Grove-CA-91945/17112486_zpid/,https://photos.zillowstatic.com/fp/f726f52b5f11ffe9f5758679b0ec1145-p_e.jpg,11
16444014,1616.0,3,2,https://www.zillow.com/homedetails/3844-Aztec-Ct-Simi-Valley-CA-93063/16444014_zpid/,https://photos.zillowstatic.com/fp/59811a8ce296be70303c12c33fb30e83-p_e.jpg,12
25740480,1272.0,3,2,https://www.zillow.com/homedetails/4852-Cabana-Dr-APT-101-Huntington-Beach-CA-92649/25740480_zpid/,https://photos.zillowstatic.com/fp/6e73d91545af9904501752282a761c05-p_e.jpg,13
16862093,1266.0,4,2,https://www.zillow.com/homedetails/4568-Clairemont-Dr-San-Diego-CA-92117/16862093_zpid/,https://photos.zillowstatic.com/fp/a5d6f124df736b5b77abb8bf23844c8f-p_e.jpg,14
19046669,2462.0,3,3,https://www.zillow.com/homedetails/5612-Greenhorn-Mountain-Ct-Bakersfield-CA-93313/19046669_zpid/,https://photos.zillowstatic.com/fp/2561368b40d257ec44a1b2170cae28a8-p_e.jpg,15
25449687,1080.0,2,2,https://www.zillow.com/homedetails/15500-Tustin-Village-Way-APT-55-Tustin-CA-92780/25449687_zpid/,https://photos.zillowstatic.com/fp/ae67b8ab98c0078cbb805a1e3638d724-p_e.jpg,16
69282464,4743.0,5,5,https://www.zillow.com/homedetails/8491-Sunset-Rose-Dr-Corona-CA-92883/69282464_zpid/,https://photos.zillowstatic.com/fp/79cab58fe90ceff8a8759ca2ef309ea7-p_e.jpg,17
